,categories,location,name,rating,review_count,snippet_text,yelp_id
0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Whiskey Bars', alias='whiskeybars')]","(40.8027668786632, -73.9640214206238)",The Hamilton,4.5,51,"What a gem this place is. 

I have been here quite a few times and will return again and again. From the servers to the bartenders, all of the staff is...",the-hamilton-new-york-3
1,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Tapas/Small Plates', alias='tapasmallplates'), Category(name='American (New)', alias='newamerican')]","(40.7608184814453, -73.9878463745117)",Dutch Freds,4.5,122,I heard about this place from some of my colleagues they insisted we go see the Bartender Frankie. What an amazing time we had with him. His drinks were A M...,dutch-freds-new-york-2
2,"[Category(name='Bars', alias='bars')]","(40.786692073145, -73.9755653589964)",E's Bar,4.5,174,Great Happy Hour specials. Download the App that will be advertised at your table to order and pay for your food/drinks directly from your phone. The first...,es-bar-new-york
3,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]","(40.764278, -73.981712)",Tanner Smiths,4.5,349,"Came here to get drinks around 9 on a Friday. Took us a few minutes to grab seats around the bar, but it was definitely worth the wait.

I absolutely loved...",tanner-smiths-new-york
4,"[Category(name='Bars', alias='bars')]","(40.76178, -73.99431)",The Pony Bar,4.0,780,"I like this place. it definitely falls in the territory of divey but its a good space, great food and a good selection of beers. The place has a good deal...",the-pony-bar-new-york
5,"[Category(name='Wine Bars', alias='wine_bars')]","(40.7633645, -73.9922985)",Pocket Bar NYC,4.5,161,This place is adorable! I went last night (7/15/16) and just loved cozy atmosphere and the bartender knew everyone and had fantastic service. It has a...,pocket-bar-nyc-new-york
6,"[Category(name='Bars', alias='bars')]","(40.784992, -73.977348)",The Dead Poet,4.0,310,"UWS go-to*
Excellent music, food, poets,
Drinks and ambiance

*basically the only place i like in UWS- sry bout it",the-dead-poet-new-york
7,"[Category(name='Indian', alias='indpak'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7808609, -73.9475937)",Drunken Munkey NYC,4.5,454,"Finally a place that satisfied my craving for briyani! Lamb briyani is to die for! 

Nice little place for brunch.",drunken-munkey-nyc-new-york
8,"[Category(name='Pubs', alias='pubs'), Category(name='Scottish', alias='scottish'), Category(name='Whiskey Bars', alias='whiskeybars')]","(40.776327, -73.953213)",Caledonia Bar,4.5,183,"Whiskey heaven. Listen, many places can house great whiskies and curate a outstanding roster of spirits for consumption. But, can they provide a wonderful...",caledonia-bar-new-york-3
9,"[Category(name='Bars', alias='bars')]","(40.71646, -73.99969)",Whiskey Tavern,4.5,566,"Note: This experience was on a Sunday at around 7pm.

My cousins and I wanted to go someplace before heading back to Philly and since we were in Chinatown,...",whiskey-tavern-new-york
